proity,Country,type ,number_of
very high,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
very high,ECU,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
middle,USA,a,1
very high,USA,a,1
very high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,AUT,b,1
very high,RUS,c,1
middle,DEU,a,1
high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
very high,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
middle,USA,a,1
high,DEU,a,1
middle,DEU,a,1
high,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,AUS,a,1
middle,JPN,a,1
very high,NLD,a,1
high,LTU,a,1
middle,IND,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
very high,DEU,a,1
middle,DEU,a,1
very high,GBR,a,1
very high,RUS,c,1
very high,USA,a,1
high,USA,a,1
middle,USA,a,1
very high,USA,a,1
high,USA,a,1
high,USA,a,1
high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,AUS,a,1
very high,GBR,a,1
middle,BRA,a,1
middle,NOR,a,1
middle,NOR,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
high,USA,a,1
high,USA,a,1
very high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,AUT,a,1
middle,SWE,a,1
middle,DEU,a,1
middle,IND,a,1
middle,DEU,a,1
middle,DEU,b,1
high,DEU,a,1
middle,DEU,a,1
high,DEU,a,1
very high,DEU,a,1
very high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
high,USA,a,1
very high,USA,a,1
middle,AUS,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
very high,AUT,a,1
middle,AUT,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
high,USA,a,1
high,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
very high,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
high,SWE,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
middle,USA,a,1
high,SWE,a,1
middle,NLD,a,1
high,NLD,a,1
high,DEU,a,1
middle,DEU,a,1
high,DEU,a,1
middle,AUT,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
very high,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
high,DEU,a,1
high,DEU,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
high,FIN,a,1
middle,DEU,a,1
high,DEU,a,1
middle,SWE,a,1
middle,IND,a,1
very high,CAN,a,1
middle,CAN,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
high,AUS,a,1
middle,NOR,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
very high,USA,a,1
high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
middle,DEU,a,1
high,RUS,a,1
middle,CHE,a,1
middle,USA,a,1
high,USA,a,1
very high,USA,a,1
high,USA,a,1
middle,USA,a,1
very high,USA,a,1
middle,USA,a,1
middle,USA,a,1
middle,DEU,a,1
very high,USA,a,1
high,USA,a,1
middle,USA,a,1
middle,USA,a,1
high,USA,a,1
very high,USA,a,1
middle,GBR,a,1
middle,GBR,a,1
very high,GBR,a,1
middle,GBR,a,1
